"","geo_id","med_income_2010","med_income_2011","med_income_2012","med_income_2013","med_income_2014","med_income_2015","med_income_2016","med_income_2017","med_income_2018","med_income_2019","med_income_2020","med_income_2021","med_income_2022","med_income_2023","med_income_2024"
"162","1400000US53011041325",81985,84444,85918,81031,86992,92530,95086,98826,100500,103622,101350,104490,115682,132708,138710
"163","1400000US53011041326",62050,54853,62500,54575,57304,65481,72535,75861,75673,74102,71080,76202,79792,85776,92366
"164","1400000US53011041327",79949,79203,84555,84545,80647,82891,90882,88538,94398,97768,NA,NA,NA,NA,NA
"165","1400000US53011041328",61875,63699,64428,66441,65609,65657,68456,79024,78690,82034,89464,95913,99038,96693,100111
"166","1400000US53011041329",70218,68191,64850,62089,78795,78155,82470,89293,92990,86906,92146,92542,82273,88917,93842
"167","1400000US53011041330",61612,64087,62372,62619,63106,61250,59028,67122,74408,79125,76856,79569,85647,88285,90980
"168","1400000US53011041331",38386,37052,41061,45625,53086,54583,57633,59575,65000,65857,62781,65469,67282,68902,69258
"169","1400000US53011041332",53972,60700,75662,59303,74432,60682,64438,60625,77770,80919,93803,96069,103651,107750,115972
"170","1400000US53011041333",68438,69922,71953,59094,55750,58910,59706,68389,78750,78357,75465,67500,74241,84583,88906
"171","1400000US53011041400",54464,54451,55946,52935,55530,60766,68475,73150,77877,81363,69355,71250,93706,106403,117813
"172","1400000US53011041500",46705,41555,48550,46723,50583,59013,58571,57917,64345,64141,63961,70000,83594,87331,79219
"173","1400000US53011041600",24676,23624,26616,29125,26703,26490,34491,34311,31250,37083,37312,37241,45074,42401,47273
"174","1400000US53011041700",32595,33664,33012,33590,32097,36042,38936,40912,41622,46569,50112,53275,58438,65000,66431
"175","1400000US53011041800",37833,41164,43807,40142,41841,41458,43083,45080,48186,48194,52161,54840,59159,64303,66711
"176","1400000US53011041900",39494,40268,46161,41591,44000,41689,41915,46103,56442,66000,62604,73594,79457,85536,83289
"177","1400000US53011042000",59797,70529,69583,81378,79167,72258,74679,75000,68194,69716,79861,82292,106154,110739,112115
"178","1400000US53011042100",55489,54833,49274,49266,65429,58289,57391,67708,72872,73600,79173,84213,92614,95417,98243
"179","1400000US53011042300",31034,32536,34762,31037,28967,36232,36847,38885,39063,44356,47941,47353,50960,50821,51238
"180","1400000US53011042400",29308,30325,31927,28281,33372,34962,34730,32857,32500,27891,32623,35683,39756,56719,74250
"181","1400000US53011042500",32364,38094,38207,38598,40500,40586,41020,37358,43382,43203,55163,60438,70675,71354,74512
"182","1400000US53011042600",41190,41042,37708,37854,38090,37285,43180,45587,48506,50028,NA,NA,NA,NA,NA
"183","1400000US53011042700",27831,30593,26639,26546,27262,28016,26858,30111,31956,40968,43687,47037,51493,50928,46799
"184","1400000US53011042800",57043,60972,71354,64773,63177,65875,67250,64159,68750,74044,71550,75181,91042,89605,99653
"185","1400000US53011042900",49681,48622,48822,49750,48319,51375,52898,65341,67321,67202,90250,81750,85347,90865,95786
"186","1400000US53011043000",35781,35375,40060,52026,50282,53100,55446,51458,55250,61771,54779,71875,84750,79405,81173
"187","1400000US53011043100",48125,49444,53884,56321,56207,57898,62529,65469,73367,83810,82452,80625,90123,82056,87670
"188","1400000US53013960200",43611,44038,45417,42519,41071,38581,42083,46250,51111,53423,61779,64688,68825,71528,71810
"189","1400000US53015000300",17545,17955,12944,12072,11853,16406,19770,21250,26111,31488,NA,NA,NA,NA,NA
"190","1400000US53015000400",33516,32476,31653,31141,31722,29764,32264,32193,33285,37542,40340,48542,50737,55402,56172
"191","1400000US53015000501",41139,40507,41890,40804,38644,35483,42824,46520,48452,50680,48295,52756,50076,52500,52388
"192","1400000US53015000502",23356,24063,22755,23330,22703,22092,23313,25899,29670,35183,38944,40541,48448,47243,49398
"193","1400000US53015000601",30929,27871,26862,26151,27179,27736,24824,30438,37612,38269,40100,43929,40236,40413,44427
"194","1400000US53015000602",50444,53177,49199,48875,47426,54259,57908,60050,63387,66691,74013,80341,86217,91071,87330
"195","1400000US53015000702",59138,58313,63627,63194,59554,60573,60172,52750,56587,54130,60238,67413,81645,81394,82829
"196","1400000US53015000703",48939,47188,44792,39848,35078,40075,40324,39786,38977,40625,41953,49479,48802,59878,62288
"197","1400000US53015000704",49290,57245,49849,47023,46439,44134,42540,42065,45625,52156,NA,NA,NA,NA,NA
"198","1400000US53015000800",70120,68457,68496,68534,71101,65000,64077,68500,68269,78347,NA,NA,NA,NA,NA
"199","1400000US53015000900",51667,54516,54370,55383,51964,53979,60118,62619,66395,66442,NA,NA,NA,NA,NA
"200","1400000US53015001000",18673,20082,22000,22150,21337,21833,28370,28411,24891,30351,36000,41042,50132,52621,50694
"201","1400000US53015001100",33143,33502,31642,34844,27041,27348,25540,28870,34217,35187,40320,43761,48438,41796,66325
"202","1400000US53015001200",49290,50242,49931,51469,51236,53438,59111,63000,66525,66836,66920,74375,77070,81302,87772
"203","1400000US53015001300",41860,41105,33589,32737,36362,36440,40529,47969,46667,55349,57736,55000,65183,69046,64183
"204","1400000US53015001501",57831,65000,62917,69281,66654,66295,64261,67983,68065,73072,53994,71458,84239,92527,92824
"205","1400000US53015001502",56462,59202,56913,60919,62590,61285,65104,66763,68320,72813,NA,NA,NA,NA,NA
"206","1400000US53015001600",60174,56555,57560,58569,54677,56875,61444,68110,74707,77327,NA,NA,NA,NA,NA
"207","1400000US53015001700",58519,62442,60557,63629,63852,69750,75589,78947,79520,82182,79865,84031,88352,79929,95472
"208","1400000US53015001800",45455,52542,49489,53813,55862,55667,57375,53500,53696,53932,58542,65380,81758,84400,86190
"209","1400000US53015001900",65347,64430,66130,61378,58153,64228,61739,66167,73932,83362,76481,80032,88167,87986,98902
"210","1400000US53015002001",47778,48500,51618,55811,54476,63458,64091,61367,64375,68399,64167,76027,84292,92417,86250
"211","1400000US53015002002",48750,51189,52989,59436,55772,56070,57196,57065,60300,61424,NA,NA,NA,NA,NA
"212","1400000US53015002100",24327,25498,25156,26660,22109,21969,21564,21307,20753,22847,24369,27410,37096,39683,31373
"213","1400000US53017950100",35370,36694,36985,39688,41062,44818,46518,48337,49764,47896,NA,NA,NA,NA,NA
"214","1400000US53017950200",50781,48024,51648,46719,42742,44500,47781,48000,52708,56949,59904,65813,71369,74643,79516
"215","1400000US53017950300",43971,41496,44148,43432,44836,43813,57750,60318,68571,65806,74492,67955,91484,84863,83618
"216","1400000US53017950400",64286,60657,65815,64196,64477,67984,68599,69577,75362,79375,81667,90300,111125,103000,113795
"217","1400000US53017950500",38190,42917,41816,46250,46371,46394,41097,48066,48555,52534,54838,57542,69626,70566,64167
"218","1400000US53017950600",65104,64500,70385,70771,75134,71164,75125,75945,81659,82672,84457,103000,112188,126776,126653
"219","1400000US53017950700",37590,40660,43024,43197,44150,46410,44145,46558,47623,47674,50218,52610,68348,73806,70058
"220","1400000US53017950800",56673,61318,59597,60244,59063,58095,53250,55176,53750,56719,66226,68218,78645,86641,83622
"221","1400000US53019940000",34239,36442,26700,29028,25511,26359,25341,35380,35592,37731,39375,41615,46364,51392,53406
"222","1400000US53019970100",40444,36962,37468,39346,39147,39432,40179,40991,41350,39968,36959,36719,38150,51974,58095
"223","1400000US53019970200",34026,34483,35020,37667,39474,40469,42292,42269,43608,43495,44283,50132,56974,57798,56543
"224","1400000US53021020100",33527,38547,38776,40698,43724,45771,46373,47566,53715,51364,NA,NA,NA,NA,NA
"225","1400000US53021020200",24403,23956,22247,28537,31927,35000,38104,38125,36333,36893,NA,NA,NA,NA,NA
"226","1400000US53021020300",43110,43008,38750,39934,40625,40000,41922,44315,44709,45724,45442,45972,50888,49141,52169
"227","1400000US53021020400",27493,26499,26307,27294,30943,31217,31468,34902,35513,33089,NA,NA,NA,NA,NA
"228","1400000US53021020501",79632,78292,74860,78365,78232,82636,91750,96316,98919,102250,95625,101767,109117,113793,117356
